# retrato — texto das células, na ordem em que aparecem
# removidos: comentários HTML, <script> (csrf), atributos e espaços redundantes

organisation | repository | language | branch | work | issues | state
The-Band-Solution | .github | not declared | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | AgentES | not declared | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
The-Band-Solution | ResearchDomain | Python | main | 19 issues has collected work | 19 | observed
leds-conectafapes | academy | JavaScript | develop | collected, no issues no work: issues were collected and none were found | 0 | archived at the source
leds-conectafapes | agentes-edite-controlpanel | Python | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | agentes-edite-frontend | Vue | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | agentes-edite-infraestrutura | not declared | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | agentes-planning | not declared | main | 13 issues has collected work | 13 | observed
leds-conectafapes | agentes-project | not declared | develop | 526 issues has collected work | 526 | observed
leds-conectafapes | atlantis-poc | HCL | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | autherix | C# | develop | 27 issues has collected work | 27 | observed
leds-conectafapes | autherix-sdk | C# | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | banestes | TypeScript | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | conectafapes | not declared | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | conectafapes-discovery-project | not declared | main | 29 issues has collected work | 29 | observed
leds-conectafapes | conectafapes-helm | Go Template | conectafapes-prodest-prod | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | conectafapes-project | TypeScript | main | 2520 issues has collected work | 2520 | observed
leds-conectafapes | conectafapes-sot | HTML | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | dados_planning | not declared | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | devops-planning | not declared | main | 5 issues has collected work | 5 | observed
leds-conectafapes | docker-atlantis | Dockerfile | master | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | edite-project | Python | develop | 20 issues has collected work | 20 | observed
leds-conectafapes | edite-sot | HTML | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
The-Band-Solution | eo_lib | Python | main | 11 issues has collected work | 11 | observed
The-Band-Solution | extract-load-eo | Python | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | github-issues-automation | Python | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | importacao-conecta | Python | main | collected, no issues no work: issues were collected and none were found | 0 | observed
The-Band-Solution | infrastructure | Makefile | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | integracao-conecta-airflow | Python | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-agentes-Oraculo | Python | develop | 5 issues has collected work | 5 | observed
leds-conectafapes | leds-agentes-documentation | MDX | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-agentes-oraculo-docs | Python | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-agentes-oraculo-frontend | Python | main | 10 issues has collected work | 10 | observed
leds-conectafapes | leds-agentes-oraculo-platformcomponents | Python | main | 9 issues has collected work | 9 | observed
leds-conectafapes | leds-agentes-portaladmin | Python | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-agentes-validaAI | Python | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-atlantis | HCL | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-atlantis-aws | HCL | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-RequirementsAI | Python | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-airflow | Python | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-airflow-3.0 | Python | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-api-gateway | C# | develop | 1 issue has collected work | 1 | observed
leds-conectafapes | leds-conectafapes-api-tuple | C# | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-auth-ads | C# | develop | 37 issues has collected work | 37 | observed
leds-conectafapes | leds-conectafapes-auth-sot | Makefile | develop | 12 issues has collected work | 12 | observed
leds-conectafapes | leds-conectafapes-authentication | C# | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-autherix | Vue | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-authz-base | Python | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-backend-admin | C# | develop | 7 issues has collected work | 7 | observed
leds-conectafapes | leds-conectafapes-backend-dashboard | C# | develop | 12 issues has collected work | 12 | observed
leds-conectafapes | leds-conectafapes-backend-pagamento-bolsistas | C# | develop | 10 issues has collected work | 10 | observed
leds-conectafapes | leds-conectafapes-backend-portal-fapes | C# | develop | collected, no issues no work: issues were collected and none were found | 0 | archived at the source
leds-conectafapes | leds-conectafapes-bi | Python | develop | 57 issues has collected work | 57 | observed
leds-conectafapes | leds-conectafapes-biblioteca-componentes | TypeScript | develop | 1 issue has collected work | 1 | observed
leds-conectafapes | leds-conectafapes-bot-whatsapp | Python | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-database-scripts | TSQL | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-documentation | Python | main | 1 issue has collected work | 1 | archived at the source
leds-conectafapes | leds-conectafapes-dynamic-forms | C# | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-edite | Python | develop | 2 issues has collected work | 2 | observed
leds-conectafapes | leds-conectafapes-extrator-bancario | C# | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-fronted-holdingpage | CSS | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-frontend | not declared | — | 32 issues has collected work | 32 | observed
leds-conectafapes | leds-conectafapes-frontend-admin | Vue | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-frontend-backoffice | TypeScript | develop | 6 issues has collected work | 6 | observed
leds-conectafapes | leds-conectafapes-frontend-mockend | not declared | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-frontend-muttley | Vue | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-frontend-portal-fapes | Vue | develop | 2 issues has collected work | 2 | observed
leds-conectafapes | leds-conectafapes-frontoffice-backend | C# | develop | 6 issues has collected work | 6 | observed
leds-conectafapes | leds-conectafapes-frontoffice-frontend | TypeScript | develop | 20 issues has collected work | 20 | observed
leds-conectafapes | leds-conectafapes-healthcheck | C# | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-helm-prodest | Go Template | conectafapes-prodest-prod | 1 issue has collected work | 1 | observed
leds-conectafapes | leds-conectafapes-importacao-app-smith | JavaScript | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-importacao-validacao-spark | Jupyter Notebook | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-infra | Python | develop | 2 issues has collected work | 2 | observed
leds-conectafapes | leds-conectafapes-infra-compose | Shell | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-integracao-conecta-datalake | Python | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-job-importacao | C# | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-jwt-generator | C# | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-libs | C# | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-local | TSQL | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-management-dashboard | Python | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-notifications | C# | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-observabilidade-exemplo | C# | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-openFGA | Shell | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-oraculo | Python | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-otel | TypeScript | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-otto | Python | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-pip-muttley | C# | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-portal-fapes | C# | develop | 16 issues has collected work | 16 | observed
leds-conectafapes | leds-conectafapes-prestacao-de-contas | C# | develop | 11 issues has collected work | 11 | observed
leds-conectafapes | leds-conectafapes-rodrigo | Python | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-sdlc | not declared | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-servicedesk | HTML | develop | 8 issues has collected work | 8 | observed
leds-conectafapes | leds-conectafapes-servicedesk-base | Makefile | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-servicedesk-sot | Makefile | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-templater-editais | Python | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-tests-automated | TypeScript | develop | collected, no issues no work: issues were collected and none were found | 0 | archived at the source
leds-conectafapes | leds-conectafapes-tuple-mgmt | C# | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-validaPrestacaoContas | HTML | master | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-conectafapes-validation-tests | RobotFramework | develop | collected, no issues no work: issues were collected and none were found | 0 | archived at the source
leds-conectafapes | leds-conectafapes-values-gitops | not declared | main | collected, no issues no work: issues were collected and none were found | 0 | archived at the source
leds-conectafapes | leds-devops-planning | HTML | main | collected, no issues no work: issues were collected and none were found | 0 | archived at the source
leds-conectafapes | leds-modular-frontend-template | TypeScript | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-plataforma-devex-sot | Makefile | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-plataforma-docs | not declared | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-plataforma-helms | Go Template | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-plataforma-learn | HTML | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-status-page | CSS | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | leds-workstage | TypeScript | development | 1 issue has collected work | 1 | observed
leds-conectafapes | leds_conectafapes_backend_muttley | C# | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
The-Band-Solution | lib-template | Python | main | collected, no issues no work: issues were collected and none were found | 0 | observed
The-Band-Solution | libbase | Python | main | 19 issues has collected work | 19 | observed
leds-conectafapes | mvp-geracao-editais | TypeScript | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | n8n | not declared | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | n8n-na-pratica | Python | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | oraculo-project | not declared | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | plataformas-project | not declared | develop | 647 issues has collected work | 647 | observed
leds-conectafapes | processo-leds-sdlc | Python | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | produtos-internos-project | not declared | develop | 232 issues has collected work | 232 | observed
leds-conectafapes | profana | HCL | master | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | project-management-system-toy | TypeScript | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | reportfy | Python | main | collected, no issues no work: issues were collected and none were found | 0 | observed
leds-conectafapes | sot-template | Makefile | develop | collected, no issues no work: issues were collected and none were found | 0 | observed
